"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 26 17:09:36 BRT 2026","Sun Jul 26 17:09:36 BRT 2026","0","","RegistrationTests","","","","Register_WithMinimumValidPasswordLength_Succeeds",""
"passed","Sun Jul 26 17:03:54 BRT 2026","Sun Jul 26 17:03:54 BRT 2026","0","","LoginTests","","","","Login_WithNonExistentEmail_ShowsInvalidCredentialsError",""
"passed","Sun Jul 26 17:08:05 BRT 2026","Sun Jul 26 17:08:05 BRT 2026","0","","LogoutTests","","","","Logout_ThenRegisterNewAccount_Succeeds",""
"passed","Sun Jul 26 17:11:10 BRT 2026","Sun Jul 26 17:11:10 BRT 2026","0","","WeatherSearchTests","","","","Search_SelectingNonFirstSuggestion_ResolvesToThatLocation",""
"passed","Sun Jul 26 17:10:28 BRT 2026","Sun Jul 26 17:10:28 BRT 2026","0","","RegistrationTests","","","","Register_WithValidNewUser_RedirectsToLoginWithSuccessMessage",""
"passed","Sun Jul 26 17:06:31 BRT 2026","Sun Jul 26 17:06:31 BRT 2026","1","","LogoutTests","","","","Logout_ThenLoginWithWrongPassword_StillFailsCorrectly",""
"passed","Sun Jul 26 17:12:22 BRT 2026","Sun Jul 26 17:12:22 BRT 2026","0","","WeatherSearchTests","","","","Search_WithEmptyQuery_ShowsNoSuggestions",""
"passed","Sun Jul 26 17:03:21 BRT 2026","Sun Jul 26 17:03:21 BRT 2026","0","","LoginTests","","","","Login_WithEmailInDifferentCase_Succeeds",""
"passed","Sun Jul 26 17:11:40 BRT 2026","Sun Jul 26 17:11:40 BRT 2026","0","","WeatherSearchTests","","","","Search_SequentialSearches_EachResolvesIndependently",""
"passed","Sun Jul 26 17:03:45 BRT 2026","Sun Jul 26 17:03:45 BRT 2026","0","","LoginTests","","","","Login_WithInvalidPassword_ShowsInvalidCredentialsError",""
"passed","Sun Jul 26 17:12:45 BRT 2026","Sun Jul 26 17:12:45 BRT 2026","0","","WeatherSearchTests","","","","Search_WithLowercaseQuery_StillResolvesResults",""
"passed","Sun Jul 26 17:12:03 BRT 2026","Sun Jul 26 17:12:03 BRT 2026","0","","WeatherSearchTests","","","","Search_ValidCity_DisplaysForecastForSelectedLocation",""
"passed","Sun Jul 26 17:09:11 BRT 2026","Sun Jul 26 17:09:11 BRT 2026","0","","RegistrationTests","","","","Register_WithDuplicateEmail_ShowsValidationError",""
"passed","Sun Jul 26 17:04:20 BRT 2026","Sun Jul 26 17:04:20 BRT 2026","0","","LoginTests","","","","Login_WithValidCredentials_DisplaysCorrectUserNameInSettings",""
"passed","Sun Jul 26 17:09:49 BRT 2026","Sun Jul 26 17:09:49 BRT 2026","0","","RegistrationTests","","","","Register_WithMismatchedPasswords_ShowsValidationError",""
"passed","Sun Jul 26 17:06:08 BRT 2026","Sun Jul 26 17:06:08 BRT 2026","0","","LogoutTests","","","","Logout_ThenLoginWithNonExistentEmail_StillFailsCorrectly",""
"passed","Sun Jul 26 17:10:02 BRT 2026","Sun Jul 26 17:10:02 BRT 2026","0","","RegistrationTests","","","","Register_WithPasswordTooShort_ShowsValidationError",""
